news_id,user_id,title,news_type,news_title_hash
115,393,Top Army Chief of Staff General Has Had It With Obama Incompetence ⋆ US Herald,Fake,5D1A52
150,398,"ABC Reveals Trump Paid ""Hundreds Of Millions"" By Russian Oligarchs",Fake,F466AA
45,448,How to watch the first presidential debate,Real,F6430A
143,456,"ALERT: Police Pull Over ‘Islamic Refugee,’ Horrified To See What Was In The Car",Fake,19776E
109,466,Californians Had Special Way to View the Eclipse… Now Hospitals Are Filling up,Fake,7E4715
140,466,Federal Agents Make Massive Discovery at Southern Border… ISIS Is Here ⋆ Freedom Daily,Fake,A8E571
45,470,How to watch the first presidential debate,Real,F6430A
17,471,Jeb Bush to lecture at Harvard this fall,Real,A26558
42,478,National poll: Clinton leads Trump by 6,Real,B4EA27
150,499,"ABC Reveals Trump Paid ""Hundreds Of Millions"" By Russian Oligarchs",Fake,F466AA
41,519,Joe Biden Slams Donald Trump's Comment That Housing Crisis Was 'Good Business',Real,92F413
42,521,National poll: Clinton leads Trump by 6,Real,B4EA27
10,522,"Donald Trump: Drugs a 'Very, Very Big Factor' in Charlotte Protests",Real,8FFAFB
21,522,Anthony Weiner Under Federal Investigation for Alleged Sexting With a Minor,Real,9C8FAF
41,522,Joe Biden Slams Donald Trump's Comment That Housing Crisis Was 'Good Business',Real,92F413
42,522,National poll: Clinton leads Trump by 6,Real,B4EA27
42,529,National poll: Clinton leads Trump by 6,Real,B4EA27
150,533,"ABC Reveals Trump Paid ""Hundreds Of Millions"" By Russian Oligarchs",Fake,F466AA
98,568,Clinton Foundation Spent 5.7% on Charity; Rest Went to “Salaries” and “Other Expenses” – Eagle Rising,Fake,3A6ED0
140,568,Federal Agents Make Massive Discovery at Southern Border… ISIS Is Here ⋆ Freedom Daily,Fake,A8E571
121,595,"Homosexual Thinks Muslims Will Accept Him, Instantly Learns How They Deal With LGBT",Fake,78D9FA
45,620,How to watch the first presidential debate,Real,F6430A
150,639,"ABC Reveals Trump Paid ""Hundreds Of Millions"" By Russian Oligarchs",Fake,F466AA
10,648,"Donald Trump: Drugs a 'Very, Very Big Factor' in Charlotte Protests",Real,8FFAFB
140,656,Federal Agents Make Massive Discovery at Southern Border… ISIS Is Here ⋆ Freedom Daily,Fake,A8E571
10,657,"Donald Trump: Drugs a 'Very, Very Big Factor' in Charlotte Protests",Real,8FFAFB
51,657,Trump labels Clinton 'weak and ineffective' in wake of bombings,Real,229D27
23,679,Dem congressman to IRS: Audit the Trump Foundation,Real,5C5CB8
45,679,How to watch the first presidential debate,Real,F6430A
138,697,Obama Told Americans That Their Freedom Is Over And,Fake,8B4AE4
78,743,Insiders: The heat is on Hillary,Real,232D46
10,771,"Donald Trump: Drugs a 'Very, Very Big Factor' in Charlotte Protests",Real,8FFAFB
21,771,Anthony Weiner Under Federal Investigation for Alleged Sexting With a Minor,Real,9C8FAF
41,771,Joe Biden Slams Donald Trump's Comment That Housing Crisis Was 'Good Business',Real,92F413
42,771,National poll: Clinton leads Trump by 6,Real,B4EA27
150,796,"ABC Reveals Trump Paid ""Hundreds Of Millions"" By Russian Oligarchs",Fake,F466AA
150,822,"ABC Reveals Trump Paid ""Hundreds Of Millions"" By Russian Oligarchs",Fake,F466AA
78,837,Insiders: The heat is on Hillary,Real,232D46
109,838,Californians Had Special Way to View the Eclipse… Now Hospitals Are Filling up,Fake,7E4715
45,840,How to watch the first presidential debate,Real,F6430A
143,841,"ALERT: Police Pull Over ‘Islamic Refugee,’ Horrified To See What Was In The Car",Fake,19776E
42,859,National poll: Clinton leads Trump by 6,Real,B4EA27
150,861,"ABC Reveals Trump Paid ""Hundreds Of Millions"" By Russian Oligarchs",Fake,F466AA
150,873,"ABC Reveals Trump Paid ""Hundreds Of Millions"" By Russian Oligarchs",Fake,F466AA
45,917,How to watch the first presidential debate,Real,F6430A
17,940,Jeb Bush to lecture at Harvard this fall,Real,A26558
23,940,Dem congressman to IRS: Audit the Trump Foundation,Real,5C5CB8
42,940,National poll: Clinton leads Trump by 6,Real,B4EA27
150,946,"ABC Reveals Trump Paid ""Hundreds Of Millions"" By Russian Oligarchs",Fake,F466AA
17,948,Jeb Bush to lecture at Harvard this fall,Real,A26558
17,968,Jeb Bush to lecture at Harvard this fall,Real,A26558
23,968,Dem congressman to IRS: Audit the Trump Foundation,Real,5C5CB8
140,973,Federal Agents Make Massive Discovery at Southern Border… ISIS Is Here ⋆ Freedom Daily,Fake,A8E571
169,976,"‘We Don’t Adapt To Your Culture, You Adapt To Ours’",Fake,3D02CC
45,994,How to watch the first presidential debate,Real,F6430A
45,1000,How to watch the first presidential debate,Real,F6430A
23,1002,Dem congressman to IRS: Audit the Trump Foundation,Real,5C5CB8
140,1024,Federal Agents Make Massive Discovery at Southern Border… ISIS Is Here ⋆ Freedom Daily,Fake,A8E571
109,1031,Californians Had Special Way to View the Eclipse… Now Hospitals Are Filling up,Fake,7E4715
82,1032,Details Emerge About NYC Bomb Suspect Ahmad Khan Rahami,Real,CA534D
140,1039,Federal Agents Make Massive Discovery at Southern Border… ISIS Is Here ⋆ Freedom Daily,Fake,A8E571
78,1055,Insiders: The heat is on Hillary,Real,232D46
45,1076,How to watch the first presidential debate,Real,F6430A
140,1102,Federal Agents Make Massive Discovery at Southern Border… ISIS Is Here ⋆ Freedom Daily,Fake,A8E571
34,1110,Sacramento mayor punches pie thrower,Real,581460
42,1110,National poll: Clinton leads Trump by 6,Real,B4EA27
51,1110,Trump labels Clinton 'weak and ineffective' in wake of bombings,Real,229D27
140,1138,Federal Agents Make Massive Discovery at Southern Border… ISIS Is Here ⋆ Freedom Daily,Fake,A8E571
140,1163,Federal Agents Make Massive Discovery at Southern Border… ISIS Is Here ⋆ Freedom Daily,Fake,A8E571
169,1163,"‘We Don’t Adapt To Your Culture, You Adapt To Ours’",Fake,3D02CC
140,1172,Federal Agents Make Massive Discovery at Southern Border… ISIS Is Here ⋆ Freedom Daily,Fake,A8E571
23,1175,Dem congressman to IRS: Audit the Trump Foundation,Real,5C5CB8
45,1175,How to watch the first presidential debate,Real,F6430A
42,1209,National poll: Clinton leads Trump by 6,Real,B4EA27
140,1214,Federal Agents Make Massive Discovery at Southern Border… ISIS Is Here ⋆ Freedom Daily,Fake,A8E571
45,1218,How to watch the first presidential debate,Real,F6430A
140,1223,Federal Agents Make Massive Discovery at Southern Border… ISIS Is Here ⋆ Freedom Daily,Fake,A8E571
45,1224,How to watch the first presidential debate,Real,F6430A
140,1257,Federal Agents Make Massive Discovery at Southern Border… ISIS Is Here ⋆ Freedom Daily,Fake,A8E571
169,1258,"‘We Don’t Adapt To Your Culture, You Adapt To Ours’",Fake,3D02CC
140,1280,Federal Agents Make Massive Discovery at Southern Border… ISIS Is Here ⋆ Freedom Daily,Fake,A8E571
107,1307,WHOA! NEW DISTURBING VIDEO Shows HILLARY'S Campaign Likely FAKED Her Audience At NC Rally * 100percentfedUp.com,Fake,633F13
115,1307,Top Army Chief of Staff General Has Had It With Obama Incompetence ⋆ US Herald,Fake,5D1A52
23,1313,Dem congressman to IRS: Audit the Trump Foundation,Real,5C5CB8
140,1329,Federal Agents Make Massive Discovery at Southern Border… ISIS Is Here ⋆ Freedom Daily,Fake,A8E571
51,1362,Trump labels Clinton 'weak and ineffective' in wake of bombings,Real,229D27
45,1412,How to watch the first presidential debate,Real,F6430A
42,1415,National poll: Clinton leads Trump by 6,Real,B4EA27
45,1416,How to watch the first presidential debate,Real,F6430A
42,1424,National poll: Clinton leads Trump by 6,Real,B4EA27
21,1429,Anthony Weiner Under Federal Investigation for Alleged Sexting With a Minor,Real,9C8FAF
10,1445,"Donald Trump: Drugs a 'Very, Very Big Factor' in Charlotte Protests",Real,8FFAFB
21,1462,Anthony Weiner Under Federal Investigation for Alleged Sexting With a Minor,Real,9C8FAF
23,1467,Dem congressman to IRS: Audit the Trump Foundation,Real,5C5CB8
45,1467,How to watch the first presidential debate,Real,F6430A
42,1481,National poll: Clinton leads Trump by 6,Real,B4EA27
109,1483,Californians Had Special Way to View the Eclipse… Now Hospitals Are Filling up,Fake,7E4715
23,1494,Dem congressman to IRS: Audit the Trump Foundation,Real,5C5CB8
45,1507,How to watch the first presidential debate,Real,F6430A
10,1544,"Donald Trump: Drugs a 'Very, Very Big Factor' in Charlotte Protests",Real,8FFAFB
21,1544,Anthony Weiner Under Federal Investigation for Alleged Sexting With a Minor,Real,9C8FAF
41,1544,Joe Biden Slams Donald Trump's Comment That Housing Crisis Was 'Good Business',Real,92F413
42,1544,National poll: Clinton leads Trump by 6,Real,B4EA27
17,1559,Jeb Bush to lecture at Harvard this fall,Real,A26558
42,1559,National poll: Clinton leads Trump by 6,Real,B4EA27
85,1559,Barack Obama at Benjamin Netanyahu meeting: 'He is always very candid with us',Real,535FB1
45,1596,How to watch the first presidential debate,Real,F6430A
21,1598,Anthony Weiner Under Federal Investigation for Alleged Sexting With a Minor,Real,9C8FAF
138,1639,Obama Told Americans That Their Freedom Is Over And,Fake,8B4AE4
31,1657,Clinton: ‘The next 50 days will determine the next 50 years’,Real,C2F13C
45,1660,How to watch the first presidential debate,Real,F6430A
140,1705,Federal Agents Make Massive Discovery at Southern Border… ISIS Is Here ⋆ Freedom Daily,Fake,A8E571
42,1709,National poll: Clinton leads Trump by 6,Real,B4EA27
107,1718,WHOA! NEW DISTURBING VIDEO Shows HILLARY'S Campaign Likely FAKED Her Audience At NC Rally * 100percentfedUp.com,Fake,633F13
121,1718,"Homosexual Thinks Muslims Will Accept Him, Instantly Learns How They Deal With LGBT",Fake,78D9FA
128,1718,DESPICABLE! Hillary Wants To Put Hero Cop Who Stopped Mall Terror Attack Out Of BUSINESS ⋆ Freedom Daily,Fake,719576
129,1718,UNFIT! Look What Hillary Needed To Get Up The Stairs At Her Rally Today! ⋆ Freedom Daily,Fake,C3D240
132,1718,Clinton's Exploited Haiti Earthquake ‘to Steal Billions of Dollars from the Sick and Starving’ ⋆ Freedom Daily,Fake,7253B0
143,1718,"ALERT: Police Pull Over ‘Islamic Refugee,’ Horrified To See What Was In The Car",Fake,19776E
138,1739,Obama Told Americans That Their Freedom Is Over And,Fake,8B4AE4
42,1752,National poll: Clinton leads Trump by 6,Real,B4EA27
138,1760,Obama Told Americans That Their Freedom Is Over And,Fake,8B4AE4
150,1790,"ABC Reveals Trump Paid ""Hundreds Of Millions"" By Russian Oligarchs",Fake,F466AA
114,1826,Trump Just Made A Campaign Promise So Ridiculous It Makes ‘Read My Lips’ Look Good ‹ Opposition Report,Fake,6513A0
42,1833,National poll: Clinton leads Trump by 6,Real,B4EA27
45,1833,How to watch the first presidential debate,Real,F6430A
45,1849,How to watch the first presidential debate,Real,F6430A
138,1884,Obama Told Americans That Their Freedom Is Over And,Fake,8B4AE4
10,1898,"Donald Trump: Drugs a 'Very, Very Big Factor' in Charlotte Protests",Real,8FFAFB
21,1898,Anthony Weiner Under Federal Investigation for Alleged Sexting With a Minor,Real,9C8FAF
41,1898,Joe Biden Slams Donald Trump's Comment That Housing Crisis Was 'Good Business',Real,92F413
42,1898,National poll: Clinton leads Trump by 6,Real,B4EA27
42,1902,National poll: Clinton leads Trump by 6,Real,B4EA27
150,1924,"ABC Reveals Trump Paid ""Hundreds Of Millions"" By Russian Oligarchs",Fake,F466AA
140,1933,Federal Agents Make Massive Discovery at Southern Border… ISIS Is Here ⋆ Freedom Daily,Fake,A8E571
140,1984,Federal Agents Make Massive Discovery at Southern Border… ISIS Is Here ⋆ Freedom Daily,Fake,A8E571
140,1994,Federal Agents Make Massive Discovery at Southern Border… ISIS Is Here ⋆ Freedom Daily,Fake,A8E571
150,2001,"ABC Reveals Trump Paid ""Hundreds Of Millions"" By Russian Oligarchs",Fake,F466AA
138,2011,Obama Told Americans That Their Freedom Is Over And,Fake,8B4AE4
169,2019,"‘We Don’t Adapt To Your Culture, You Adapt To Ours’",Fake,3D02CC
45,2026,How to watch the first presidential debate,Real,F6430A
85,2042,Barack Obama at Benjamin Netanyahu meeting: 'He is always very candid with us',Real,535FB1
98,2042,Clinton Foundation Spent 5.7% on Charity; Rest Went to “Salaries” and “Other Expenses” – Eagle Rising,Fake,3A6ED0
109,2042,Californians Had Special Way to View the Eclipse… Now Hospitals Are Filling up,Fake,7E4715
140,2042,Federal Agents Make Massive Discovery at Southern Border… ISIS Is Here ⋆ Freedom Daily,Fake,A8E571
82,2063,Details Emerge About NYC Bomb Suspect Ahmad Khan Rahami,Real,CA534D
45,2084,How to watch the first presidential debate,Real,F6430A
45,2129,How to watch the first presidential debate,Real,F6430A
45,2143,How to watch the first presidential debate,Real,F6430A
45,2149,How to watch the first presidential debate,Real,F6430A
34,2188,Sacramento mayor punches pie thrower,Real,581460
42,2188,National poll: Clinton leads Trump by 6,Real,B4EA27
150,2192,"ABC Reveals Trump Paid ""Hundreds Of Millions"" By Russian Oligarchs",Fake,F466AA
45,2193,How to watch the first presidential debate,Real,F6430A
109,2199,Californians Had Special Way to View the Eclipse… Now Hospitals Are Filling up,Fake,7E4715
98,2227,Clinton Foundation Spent 5.7% on Charity; Rest Went to “Salaries” and “Other Expenses” – Eagle Rising,Fake,3A6ED0
140,2227,Federal Agents Make Massive Discovery at Southern Border… ISIS Is Here ⋆ Freedom Daily,Fake,A8E571
82,2250,Details Emerge About NYC Bomb Suspect Ahmad Khan Rahami,Real,CA534D
140,2286,Federal Agents Make Massive Discovery at Southern Border… ISIS Is Here ⋆ Freedom Daily,Fake,A8E571
42,2293,National poll: Clinton leads Trump by 6,Real,B4EA27
23,2316,Dem congressman to IRS: Audit the Trump Foundation,Real,5C5CB8
45,2316,How to watch the first presidential debate,Real,F6430A
23,2329,Dem congressman to IRS: Audit the Trump Foundation,Real,5C5CB8
45,2329,How to watch the first presidential debate,Real,F6430A
150,2330,"ABC Reveals Trump Paid ""Hundreds Of Millions"" By Russian Oligarchs",Fake,F466AA
138,2335,Obama Told Americans That Their Freedom Is Over And,Fake,8B4AE4
23,2349,Dem congressman to IRS: Audit the Trump Foundation,Real,5C5CB8
45,2350,How to watch the first presidential debate,Real,F6430A
10,2377,"Donald Trump: Drugs a 'Very, Very Big Factor' in Charlotte Protests",Real,8FFAFB
45,2380,How to watch the first presidential debate,Real,F6430A
140,2388,Federal Agents Make Massive Discovery at Southern Border… ISIS Is Here ⋆ Freedom Daily,Fake,A8E571
138,2393,Obama Told Americans That Their Freedom Is Over And,Fake,8B4AE4
78,2405,Insiders: The heat is on Hillary,Real,232D46
42,2415,National poll: Clinton leads Trump by 6,Real,B4EA27
23,2426,Dem congressman to IRS: Audit the Trump Foundation,Real,5C5CB8
42,2426,National poll: Clinton leads Trump by 6,Real,B4EA27
45,2426,How to watch the first presidential debate,Real,F6430A
10,2427,"Donald Trump: Drugs a 'Very, Very Big Factor' in Charlotte Protests",Real,8FFAFB
21,2427,Anthony Weiner Under Federal Investigation for Alleged Sexting With a Minor,Real,9C8FAF
30,2427,"Obama wears hat, breaking ‘Politics 101’ rule on headgear",Real,A0E7B2
41,2427,Joe Biden Slams Donald Trump's Comment That Housing Crisis Was 'Good Business',Real,92F413
42,2427,National poll: Clinton leads Trump by 6,Real,B4EA27
45,2427,How to watch the first presidential debate,Real,F6430A
78,2427,Insiders: The heat is on Hillary,Real,232D46
109,2460,Californians Had Special Way to View the Eclipse… Now Hospitals Are Filling up,Fake,7E4715
45,2462,How to watch the first presidential debate,Real,F6430A
17,2466,Jeb Bush to lecture at Harvard this fall,Real,A26558
45,2471,How to watch the first presidential debate,Real,F6430A
140,2484,Federal Agents Make Massive Discovery at Southern Border… ISIS Is Here ⋆ Freedom Daily,Fake,A8E571
23,2491,Dem congressman to IRS: Audit the Trump Foundation,Real,5C5CB8
140,2492,Federal Agents Make Massive Discovery at Southern Border… ISIS Is Here ⋆ Freedom Daily,Fake,A8E571
140,2502,Federal Agents Make Massive Discovery at Southern Border… ISIS Is Here ⋆ Freedom Daily,Fake,A8E571
42,2504,National poll: Clinton leads Trump by 6,Real,B4EA27
169,2516,"‘We Don’t Adapt To Your Culture, You Adapt To Ours’",Fake,3D02CC
138,2524,Obama Told Americans That Their Freedom Is Over And,Fake,8B4AE4
115,2526,Top Army Chief of Staff General Has Had It With Obama Incompetence ⋆ US Herald,Fake,5D1A52
169,2526,"‘We Don’t Adapt To Your Culture, You Adapt To Ours’",Fake,3D02CC
45,2527,How to watch the first presidential debate,Real,F6430A
107,2533,WHOA! NEW DISTURBING VIDEO Shows HILLARY'S Campaign Likely FAKED Her Audience At NC Rally * 100percentfedUp.com,Fake,633F13
45,2542,How to watch the first presidential debate,Real,F6430A
140,2549,Federal Agents Make Massive Discovery at Southern Border… ISIS Is Here ⋆ Freedom Daily,Fake,A8E571
82,2557,Details Emerge About NYC Bomb Suspect Ahmad Khan Rahami,Real,CA534D
34,2562,Sacramento mayor punches pie thrower,Real,581460
42,2562,National poll: Clinton leads Trump by 6,Real,B4EA27
143,2582,"ALERT: Police Pull Over ‘Islamic Refugee,’ Horrified To See What Was In The Car",Fake,19776E
23,2596,Dem congressman to IRS: Audit the Trump Foundation,Real,5C5CB8
42,2596,National poll: Clinton leads Trump by 6,Real,B4EA27
78,2596,Insiders: The heat is on Hillary,Real,232D46
140,2601,Federal Agents Make Massive Discovery at Southern Border… ISIS Is Here ⋆ Freedom Daily,Fake,A8E571
42,2603,National poll: Clinton leads Trump by 6,Real,B4EA27
115,2623,Top Army Chief of Staff General Has Had It With Obama Incompetence ⋆ US Herald,Fake,5D1A52
23,2660,Dem congressman to IRS: Audit the Trump Foundation,Real,5C5CB8
45,2660,How to watch the first presidential debate,Real,F6430A
17,2663,Jeb Bush to lecture at Harvard this fall,Real,A26558
21,2663,Anthony Weiner Under Federal Investigation for Alleged Sexting With a Minor,Real,9C8FAF
23,2663,Dem congressman to IRS: Audit the Trump Foundation,Real,5C5CB8
41,2663,Joe Biden Slams Donald Trump's Comment That Housing Crisis Was 'Good Business',Real,92F413
115,2701,Top Army Chief of Staff General Has Had It With Obama Incompetence ⋆ US Herald,Fake,5D1A52
169,2720,"‘We Don’t Adapt To Your Culture, You Adapt To Ours’",Fake,3D02CC
150,2730,"ABC Reveals Trump Paid ""Hundreds Of Millions"" By Russian Oligarchs",Fake,F466AA
150,2738,"ABC Reveals Trump Paid ""Hundreds Of Millions"" By Russian Oligarchs",Fake,F466AA
45,2795,How to watch the first presidential debate,Real,F6430A
172,2806,SURPRISE! 70% Of Charlotte RIOTERS Are Not From There – Guess What That Means… [VIDEO],Fake,7EB31E
182,2806,People Noticed Something Odd About Hillary’s Outfit at the Debate Last Night,Fake,CCFD5A
45,2811,How to watch the first presidential debate,Real,F6430A
120,2820,CNN’s Post-Debate Rigged Poll Busted…Here Are The Real Results,Fake,3DBF7A
144,2820,CNN’s Post-Debate Rigged Poll Busted…Here Are The Real Results,Fake,290C3D
45,2835,How to watch the first presidential debate,Real,F6430A
45,2844,How to watch the first presidential debate,Real,F6430A
23,2846,Dem congressman to IRS: Audit the Trump Foundation,Real,5C5CB8
45,2846,How to watch the first presidential debate,Real,F6430A
45,2849,How to watch the first presidential debate,Real,F6430A
31,2861,Clinton: ‘The next 50 days will determine the next 50 years’,Real,C2F13C
157,2872,Donald Trump Goes Off The Deep End–May Be Unfit For Debate ‹ Opposition Report,Fake,57EF1C
42,2876,National poll: Clinton leads Trump by 6,Real,B4EA27
140,2908,Federal Agents Make Massive Discovery at Southern Border… ISIS Is Here ⋆ Freedom Daily,Fake,A8E571
140,2920,Federal Agents Make Massive Discovery at Southern Border… ISIS Is Here ⋆ Freedom Daily,Fake,A8E571
10,2951,"Donald Trump: Drugs a 'Very, Very Big Factor' in Charlotte Protests",Real,8FFAFB
138,2961,Obama Told Americans That Their Freedom Is Over And,Fake,8B4AE4
42,2986,National poll: Clinton leads Trump by 6,Real,B4EA27
115,2987,Top Army Chief of Staff General Has Had It With Obama Incompetence ⋆ US Herald,Fake,5D1A52
23,3009,Dem congressman to IRS: Audit the Trump Foundation,Real,5C5CB8
45,3009,How to watch the first presidential debate,Real,F6430A
23,3020,Dem congressman to IRS: Audit the Trump Foundation,Real,5C5CB8
45,3029,How to watch the first presidential debate,Real,F6430A
140,3051,Federal Agents Make Massive Discovery at Southern Border… ISIS Is Here ⋆ Freedom Daily,Fake,A8E571
150,3058,"ABC Reveals Trump Paid ""Hundreds Of Millions"" By Russian Oligarchs",Fake,F466AA
45,3065,How to watch the first presidential debate,Real,F6430A
140,3066,Federal Agents Make Massive Discovery at Southern Border… ISIS Is Here ⋆ Freedom Daily,Fake,A8E571
45,3091,How to watch the first presidential debate,Real,F6430A
115,3103,Top Army Chief of Staff General Has Had It With Obama Incompetence ⋆ US Herald,Fake,5D1A52
45,3119,How to watch the first presidential debate,Real,F6430A
78,3134,Insiders: The heat is on Hillary,Real,232D46
169,3136,"‘We Don’t Adapt To Your Culture, You Adapt To Ours’",Fake,3D02CC
17,3137,Jeb Bush to lecture at Harvard this fall,Real,A26558
45,3150,How to watch the first presidential debate,Real,F6430A
98,3152,Clinton Foundation Spent 5.7% on Charity; Rest Went to “Salaries” and “Other Expenses” – Eagle Rising,Fake,3A6ED0
107,3152,WHOA! NEW DISTURBING VIDEO Shows HILLARY'S Campaign Likely FAKED Her Audience At NC Rally * 100percentfedUp.com,Fake,633F13
109,3152,Californians Had Special Way to View the Eclipse… Now Hospitals Are Filling up,Fake,7E4715
138,3152,Obama Told Americans That Their Freedom Is Over And,Fake,8B4AE4
23,3158,Dem congressman to IRS: Audit the Trump Foundation,Real,5C5CB8
42,3158,National poll: Clinton leads Trump by 6,Real,B4EA27
115,3167,Top Army Chief of Staff General Has Had It With Obama Incompetence ⋆ US Herald,Fake,5D1A52
45,3186,How to watch the first presidential debate,Real,F6430A
10,3187,"Donald Trump: Drugs a 'Very, Very Big Factor' in Charlotte Protests",Real,8FFAFB
21,3187,Anthony Weiner Under Federal Investigation for Alleged Sexting With a Minor,Real,9C8FAF
42,3187,National poll: Clinton leads Trump by 6,Real,B4EA27
17,3200,Jeb Bush to lecture at Harvard this fall,Real,A26558
23,3200,Dem congressman to IRS: Audit the Trump Foundation,Real,5C5CB8
45,3200,How to watch the first presidential debate,Real,F6430A
140,3230,Federal Agents Make Massive Discovery at Southern Border… ISIS Is Here ⋆ Freedom Daily,Fake,A8E571
52,3260,In Defense of ‘He Said/She Said’ Journalism,Real,577445
21,3265,Anthony Weiner Under Federal Investigation for Alleged Sexting With a Minor,Real,9C8FAF
23,3265,Dem congressman to IRS: Audit the Trump Foundation,Real,5C5CB8
45,3265,How to watch the first presidential debate,Real,F6430A
150,3278,"ABC Reveals Trump Paid ""Hundreds Of Millions"" By Russian Oligarchs",Fake,F466AA
45,3298,How to watch the first presidential debate,Real,F6430A
45,3314,How to watch the first presidential debate,Real,F6430A
45,3327,How to watch the first presidential debate,Real,F6430A
45,3345,How to watch the first presidential debate,Real,F6430A
140,3350,Federal Agents Make Massive Discovery at Southern Border… ISIS Is Here ⋆ Freedom Daily,Fake,A8E571
98,3356,Clinton Foundation Spent 5.7% on Charity; Rest Went to “Salaries” and “Other Expenses” – Eagle Rising,Fake,3A6ED0
45,3384,How to watch the first presidential debate,Real,F6430A
42,3397,National poll: Clinton leads Trump by 6,Real,B4EA27
51,3397,Trump labels Clinton 'weak and ineffective' in wake of bombings,Real,229D27
85,3397,Barack Obama at Benjamin Netanyahu meeting: 'He is always very candid with us',Real,535FB1
169,3401,"‘We Don’t Adapt To Your Culture, You Adapt To Ours’",Fake,3D02CC
138,3404,Obama Told Americans That Their Freedom Is Over And,Fake,8B4AE4
45,3408,How to watch the first presidential debate,Real,F6430A
138,3411,Obama Told Americans That Their Freedom Is Over And,Fake,8B4AE4
45,3443,How to watch the first presidential debate,Real,F6430A
45,3459,How to watch the first presidential debate,Real,F6430A
121,3461,"Homosexual Thinks Muslims Will Accept Him, Instantly Learns How They Deal With LGBT",Fake,78D9FA
42,3469,National poll: Clinton leads Trump by 6,Real,B4EA27
109,3491,Californians Had Special Way to View the Eclipse… Now Hospitals Are Filling up,Fake,7E4715
150,3505,"ABC Reveals Trump Paid ""Hundreds Of Millions"" By Russian Oligarchs",Fake,F466AA
10,3516,"Donald Trump: Drugs a 'Very, Very Big Factor' in Charlotte Protests",Real,8FFAFB
42,3516,National poll: Clinton leads Trump by 6,Real,B4EA27
45,3516,How to watch the first presidential debate,Real,F6430A
98,3519,Clinton Foundation Spent 5.7% on Charity; Rest Went to “Salaries” and “Other Expenses” – Eagle Rising,Fake,3A6ED0
